point ,geomorph_zone,potential_dist,TSR ,realTSR,Y-decimal,X-decimal,rad_raster,altitude_m,slope,logslope,aspect ,E,N,plan curvature,plan_num,profile_curv,profile_num,curvature DEM,stoniness_surf,stoniness_soil,veg_type,veg_cover,texture_class,sorting,sand fraction,pH_field,soil_class,SSD
T14,development,,1910,101,46.41594444,9.859611111,1082708.87500000000,2073,1,0,218,-0.62,-0.788010754,straight,2,straight,2,-0.64,60,20,,40,sand,poor,coarse sand,5,humic leptosol,0.8
T30,development,,1881.7,129.3,46.4165,9.855861111,1213268.75000000000,2079,5,0.698970004,228,-0.74,-0.669130606,convex,1,convex,1,-0.64,85,20,,15,sand,poor,coarse sand,6,humic leptosol,2.4
T13,development,,1888.2,122.8,46.41688889,9.860444444,1051431.62500000000,2059,2,0.301029996,112,0.93,-0.374606593,concave,3,concave,3,-0.64,40,50,,60,sand,poor,coarse sand,5,humiskeletic leptosol,1
T12,development,,1885.3,125.7,46.41705556,9.86025,1044438.37500000000,2057,38,1.579783597,240,-0.87,-0.5,concave,3,convex,1,-0.64,40,20,,60,sand,poor,coarse sand,5.5,humic leptosol,2.4
T29,fluvial,,1891.5,119.5,46.41725,9.857694444,924091.25000000000,2075,2,0.301029996,38,0.62,0.788010754,straight,2,straight,2,0,5,25,,95,sandy loam,poor,medium sand,5,humic leptosol,2.25
T28,fluvial,,1887.8,123.2,46.41727778,9.857027778,1060846.12500000000,2077,0,0,,,,convex,1,convex,1,0,90,40,,5,sand,poor,coarse sand,7,skeletic leptosol,0
T27,development,,1881.2,129.8,46.41744444,9.856888889,1177827.75000000000,2076,1,0,316,-0.69,0.7193398,straight,2,straight,2,-0.32,70,30,,20,sand,poor,coarse sand,7,haplic leptosol,0
T26,development,,1877.6,133.4,46.41747222,9.856611111,1211665.12500000000,2077,40,1.602059991,72,0.95,0.309016994,straight,2,straight,2,0,15,5,,85,sand,poor,medium sand,5.8,humic leptosol,1.9
T10,development,,1882.5,128.5,46.41763889,9.859888889,1218422.00000000000,2061,35,1.544068044,232,-0.79,-0.615661475,straight,2,straight,2,-0.32,60,20,,40,sandy loam,poor,medium sand,5.5,humic leptosol,3.2
T11,development,,1880.7,130.3,46.41763889,9.860138889,1220861.87500000000,2059,27,1.431363764,130,0.77,-0.64278761,convex,1,convex,1,0.16,80,20,,20,sandy loam,poor,medium sand,5.5,humic leptosol,2.4
T25,development,,1873.7,137.3,46.41766667,9.8565,1229865.12500000000,2077,10,1,152,0.47,-0.882947593,convex,1,straight,2,0,20,15,,80,sand,poor,medium sand,5.8,humic leptosol,5.95
T9,development,,1883.9,127.1,46.41777778,9.85875,1180371.25000000000,2067,0,0,,,,straight,2,straight,2,-0.16,20,40,,80,sand,poor,coarse sand,6,humiskeletic leptosol,1.2
T24,development,,1871.2,139.8,46.41788889,9.856444444,1249618.37500000000,2077,30,1.477121255,334,-0.44,0.898794046,straight,2,straight,2,0,40,30,,60,sand,poor,medium sand,5.8,humic leptosol,4.2
T8,fluvial,,1877.2,133.8,46.418,9.857527778,1242753.37500000000,2074,3,0.477121255,54,0.81,0.587785252,convex,1,convex,1,0.32,90,50,,10,sand,poor,coarse sand,7,skeletic leptosol,0
T23,development,,1872.7,138.3,46.41811111,9.856944444,1250181.75000000000,2076,9,0.954242509,34,0.56,0.829037573,convex,1,convex,1,0,35,15,,65,sand,poor,coarse sand,5.8,humic leptosol,0.85
T7,fluvial,,1876.6,134.4,46.41827778,9.858222222,1233300.12500000000,2071,0,0,,,,concave,3,concave,3,0.16,40,50,,60,sand,poor,coarse sand,7,skeletic leptosol,0
T22,development,,1870,141,46.41844444,9.857194444,1183250.62500000000,2074,25,1.397940009,28,0.47,0.882947593,convex,1,concave,3,0.16,35,10,,65,sand,poor,coarse sand,5.8,humic leptosol,4.5
T6,fluvial,,1874.3,136.7,46.41861111,9.858527778,1278154.37500000000,2069,1,0,44,0.69,0.7193398,straight,2,straight,2,0.32,80,15,,50,sand,layered,coarse sand,7,haplic fluvisol,0
T21 ,development,,1853.8,157.2,46.4205,9.857833333,1156662.50000000000,2055,45,1.653212514,120,0.87,-0.5,convex,1,straight,2,0.32,30,30,,40,sand,poor,coarse sand,5,humic leptosol,1.4
T20,,,1850,161,46.42080556,9.857,1202229.87500000000,2059,0,0,,,,straight,2,convex,1,-0.32,30,35,,70,sand,poor,medium sand,4.8,humic leptosol,4.55
F3,,,2010,1,46.33744444,9.700083333,986166,2261,0,0,,6.12574E-17,1,straight,2,straight,2,-0.32,80,60,,0,sand,poor,coarse sand,6.5,skeletic leptosol,0
F25,fluvial,,1980.5,30.5,46.343,9.700277778,1132211,2224,2,0.301029996,359,0.017452406,-0.999847695,straight,2,straight,2,-1.12,60,40,,10,sand,better,coarse sand,7,skeletic leptosol,0
F26,fluvial,,1899,112,46.35758333,9.706555556,1037435,2070,1,0,76,0.970295726,0.241921896,straight,2,concave,3,0,10,10,,60,sand,good,medium sand,7,humic fluvisol,6.3
F27,fluvial,,1904.5,106.5,46.35697222,9.706083333,1092624,2071,3,0.477121255,133,-0.731353702,0.68199836,straight,2,concave,3,0.16,40,15,,60,sand,poor,coarse sand,7,humic leptosol,0.85
F1,development,,2008.5,2.5,46.33688889,9.699138889,1107124,2288,15,1.176091259,114,-0.913545458,0.406736643,straight,2,concave,3,-0.8,95,60,,0,sand,poor,coarse sand,6.5,skeletic leptosol,0
F2,development,,2008.2,2.8,46.33725,9.6995,1035236,2270,0,0,,6.12574E-17,1,straight,2,straight,2,-0.32,5,50,,0,sand,layered,medium sand,6.5,haplic fluvisol,0
F4,development,,2006.7,4.3,46.33780556,9.699388889,1114266,2263,17,1.230448921,118,-0.882947593,0.469471563,convex,1,convex,1,0,95,50,,0,sand,poor,coarse sand,6.5,skeletic leptosol,0
F5,development,,1920.3,90.7,46.35586111,9.704333333,1136305,2083,4,0.602059991,36,0.587785252,0.809016994,straight,2,concave,3,-0.32,60,30,,40,sand,poor,coarse sand,5,humic leptosol,5.6
F6,development,,1931.3,79.7,46.35513889,9.704222222,1108251,2083,10,1,94,-0.99756405,0.069756474,convex,1,convex,1,-0.48,40,20,,50,sand,poor,coarse sand,5,humic leptosol,2.4
F7,development,,1936.9,74.1,46.35438889,9.702833333,1091070,2104,3,0.477121255,2,0.034899497,0.999390827,concave,3,concave,3,-0.16,10,40,,90,sand,poor,coarse sand,5.8,humiskeletic leptosol,6
F8,development,,1940.7,70.3,46.35405556,9.703055556,1092823,2102,45,1.653212514,132,-0.743144825,0.669130606,convex,1,convex,1,-0.16,60,30,,40,sand,poor,coarse sand,5,humic leptosol,3.5
F9,development,debris flow,1940.9,70.1,46.35377778,9.701972222,1169569,2122,,0,,6.12574E-17,1,,2,,2,-0.64,98,98,,,sand,poor,coarse sand,,,0
F10,development,debris flow,1940.9,70.1,46.35377778,9.701944444,1169569,2122,25,1.397940009,70,0.939692621,0.342020143,convex,1,concave,3,-0.64,40,40,,60,sand,poor,coarse sand,6,humiskeletic leptosol,3.6
F11,development,debris flow,1943.7,67.3,46.35338889,9.702416667,1094395,2111,22,1.342422681,90,1,0,concave,3,convex,1,0.16,40,15,,60,sand,poor,coarse sand,6,humic leptosol,4.25
F12,development,,1945.3,65.7,46.35283333,9.701472222,1054153,2124,16,1.204119983,71,0.945518576,0.325568154,convex,1,convex,1,-0.32,95,60,,5,sand,poor,coarse sand,6,humiskeletic leptosol,2
F13,development,,1950.3,60.7,46.35230556,9.701555556,1049212,2123,12,1.079181246,91,-0.999847695,0.017452406,convex,1,concave,3,-0.64,60,40,,40,sand,poor,coarse sand,6.5,humiskeletic leptosol,2.4
F14,development,,1950.5,60.5,46.35194444,9.701055556,1113682,2142,20,1.301029996,86,0.99756405,0.069756474,concave,3,concave,3,-0.48,90,40,,5,sand,poor,coarse sand,6.5,humiskeletic leptosol,1.8
F15,development,,1951.3,59.7,46.35169444,9.701111111,1112623,2142,25,1.397940009,86,0.99756405,0.069756474,concave,3,concave,3,0.16,40,10,,30,sand,poor,coarse sand,6.5,humic leptosol,12.6
F16,development,,1950.4,60.6,46.35141667,9.700527778,1054968,2151,18,1.255272505,74,0.961261696,0.275637356,straight,2,straight,2,-0.64,80,40,,15,sand,poor,coarse sand,5.5,humiskeletic leptosol,0.6
F17,development,,1954.6,56.4,46.35083333,9.700472222,1040547,2152,33,1.51851394,135,-0.707106781,0.707106781,convex,1,convex,1,0,85,25,,10,sand,poor,coarse sand,5,humic leptosol,2.25
F18,development,,1957.4,53.6,46.35063889,9.701027778,1028809,2143,13,1.113943352,45,0.707106781,0.707106781,concave,3,concave,3,-0.16,90,45,,7,sand,poor,coarse sand,5,humiskeletic leptosol,1.1
F19,development,,1959.9,51.1,46.35008333,9.700888889,1122993,2144,15,1.176091259,128,-0.788010754,0.615661475,convex,1,concave,3,-0.32,90,50,,5,sand,poor,coarse sand,6,skeletic leptosol,0
F20,development,,1961.2,49.8,46.34955556,9.700722222,1102800,2150,35,1.544068044,186,0.104528463,0.994521895,straight,2,convex,1,-0.48,90,40,,5,sand,poor,coarse sand,6,skeletic leptosol,0
F21,development,,1945,66,46.35127778,9.700055556,1095688,2177,35,1.544068044,60,0.866025404,0.5,convex,1,convex,1,0,80,45,,20,sand,poor,coarse sand,5.5,humiskeletic leptosol,1.1
F22,development,,1969.4,41.6,46.34794444,9.700416667,981628,2167,5,0.698970004,48,0.743144825,0.669130606,straight,2,concave,3,0,30,10,,70,sand,poor,coarse sand,5,,0
F24,development,,1975.5,35.5,46.34422222,9.699444444,1070010,2229,3,0.477121255,241,0.874619707,0.48480962,concave,3,concave,3,-0.64,70,40,,30,sand,poor,coarse sand,5.8,humiskeletic leptosol,1.2
F28,development,,1909.6,101.4,46.35663889,9.705583333,1113421,2074,0,0,,6.12574E-17,1,straight,2,straight,2,-0.16,50,30,,50,sand,poor,medium/coarse,7,humic leptosol,0.7
F29,development,,1904.7,106.3,46.35680556,9.7055,1101020,2074,35,1.544068044,174,-0.104528463,0.994521895,convex,1,convex,1,-0.48,60,25,,40,sand,poor,coarse sand,7,humic leptosol,4.5
F30,development,,1914.5,96.5,46.35613889,9.704916667,1097634,2078,2,0.301029996,14,0.241921896,0.970295726,concave,3,concave,3,0.16,40,5,,60,sand,better,medium sand,7,humic fluvisol,5.7
F31,fluvial,,1930,81,46.35536111,9.704527778,1092955,2079,7,0.84509804,52,0.788010754,0.615661475,convex,1,convex,1,0,85,40,,15,sand,poor,coarse sand,7,humiskeletic leptosol,1.2
F23,slope,,1973,38,46.34627778,9.699694444,965980,2204,20,1.301029996,84,0.994521895,0.104528463,straight,2,straight,2,-0.64,95,45,,3,sand,poor,coarse sand,5.5,skeletic leptosol,0
